Brand,Model,Asin,FK link,Croma link
OnePlus,Oneplus Nord CE4 Lite 5G,B0D5YF238N,https://www.flipkart.com/oneplus-nord-ce4-lite-5g-mega-blue-256-gb/p/itm8fd5fdf300955?pid=MOBH25ZFCUBEFZ4X&lid=LSTMOBH25ZFCUBEFZ4X3R2YFR&marketplace=FLIPKART&q=OnePlus+Nord+CE4+Lite+5G&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=e0c95f59-f79f-4bee-99ec-e9393d8d7dae.MOBH25ZFCUBEFZ4X.SEARCH&ppt=sp&ppn=sp&ssid=c2rztz6ucg0000001739013946819&qH=8e049205c5a45e58,https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-256gb-mega-blue-/p/307505
OnePlus,Oneplus Nord CE4 Lite 5G,B0D5YFZ946,https://www.flipkart.com/oneplus-nord-ce4-lite-5g-mega-blue-128-gb/p/itm8fd5fdf300955?pid=MOBH25Z9CCTDDN3J&lid=LSTMOBH25Z9CCTDDN3JSDWO0R&marketplace=FLIPKART&q=OnePlus+Nord+CE4+Lite+5G&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=545b92a0-1699-46d0-b469-8cd75b992ef3.MOBH25Z9CCTDDN3J.SEARCH&ppt=pp&ppn=pp&ssid=dan93jhpdc0000001739016152447&qH=8e049205c5a45e58,https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-128gb-mega-blue-/p/308304
OnePlus,Oneplus Nord CE4 Lite 5G,B0D5YD7QSS,https://www.flipkart.com/oneplus-nord-ce4-lite-5g-super-silver-256-gb/p/itm8fd5fdf300955?pid=MOBH25ZHYFXEKGDB&lid=LSTMOBH25ZHYFXEKGDB1HTNNJ&marketplace=FLIPKART&q=OnePlus+Nord+CE4+Lite+5G&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=953a837a-a6c1-4d46-abfd-d5911f48abb6.MOBH25ZHYFXEKGDB.SEARCH&ppt=pp&ppn=pp&ssid=ob27pmexzk0000001739014513144&qH=8e049205c5a45e58,https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-256gb-super-silver-/p/307504
OnePlus,OnePlus Nord 4 5G,B0D7VKMLGD,https://www.flipkart.com/oneplus-nord-4-5g-obsidian-midnight-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8RS8FVJZK&lid=LSTMOBH3YA8RS8FVJZK0VJL4U&marketplace=FLIPKART&q=OnePlus%20Nord%204%205G&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-obsidian-midnight-/p/308680
OnePlus,OnePlus Nord 4 5G,B0D7VJ72XK,https://www.flipkart.com/oneplus-nord-4-5g-mercurial-silver-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8H6CEDSGB&lid=LSTMOBH3YA8H6CEDSGBQCNMY9&marketplace=FLIPKART&q=OnePlus%20Nord%204%205G&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color,https://www.croma.com/oneplus-nord-4-5g-12gb-ram-256gb-mercurial-silver-/p/308679
OnePlus,OnePlus Nord 4 5G,B0D7VKSZGW,https://www.flipkart.com/oneplus-nord-4-5g-mercurial-silver-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8UXSNRSXW&lid=LSTMOBH3YA8UXSNRSXWOZZAUD&marketplace=FLIPKART&q=OnePlus+Nord+4+5G&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=3714737a-8776-4349-87af-5755d7bc7551.MOBH3YA8UXSNRSXW.SEARCH&ppt=sp&ppn=sp&ssid=h0ig50cmxs0000001738997596380&qH=a8565341a97992ec,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-mercurial-silver-/p/308682
OnePlus,Oneplus Nord CE4 Lite 5G,B0D5YDJ5QM,https://www.flipkart.com/oneplus-nord-ce4-lite-5g-ultra-orange-128-gb/p/itm8fd5fdf300955?pid=MOBH25ZEZBY3ZGBF&lid=LSTMOBH25ZEZBY3ZGBF7LFGNJ&marketplace=FLIPKART&q=OnePlus+Nord+CE4+Lite+5G&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=ba9c5cf1-ebe4-421d-9be8-2717afcb9ff8.MOBH25ZEZBY3ZGBF.SEARCH&ppt=pp&ppn=pp&ssid=l0g1dgkztc0000001739015551431&qH=8e049205c5a45e58,https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-128gb-ultra-orange-/p/312258
OnePlus,OnePlus Nord 4 5G,B0D7VGZS69,https://www.flipkart.com/oneplus-nord-4-5g-oasis-green-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8ZFTVSREP&lid=LSTMOBH3YA8ZFTVSREPBTA6II&marketplace=FLIPKART&q=OnePlus%20Nord%204%205G&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-oasis-green-/p/308681
OnePlus,OnePlus Nord 4 5G,B0D7VGCPDL,https://www.flipkart.com/oneplus-nord-4-5g-obsidian-midnight-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8PDNXWUGA&lid=LSTMOBH3YA8PDNXWUGAHYKH8I&marketplace=FLIPKART&q=OnePlus%20Nord%204%205G&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-nord-4-5g-12gb-ram-256gb-obsidian-midnight-/p/308683
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538
